Sentence	B	W	A	H	Abs
Washington shot a very impressive 65 percent from the field and 53 percent from three , and the victory moves them just one game behind both the Bulls and Raptors as they look to make a late push for third place in the Eastern_Conference .	1	0	1	0	DET-ORG PROPN-ORG X-CARDINAL_COMPARISON PROPN-GPE X-CARDINAL_COMPARISON PUNCT-) X-CARDINAL_COMPARISON PROPN-DATE PUNCT-.
Jason Richardson shot his way out of a slump , scoring 15 points on 4 - of - 7 shooting in 25 minutes , as it was just the first time in five games that Richardson scored in double figures .	1	1	1	0	PROPN-GPE NUM-CARDINAL PUNCT-.
The 76ers have lost nine of their last 10 games and hold the NBA 's second - worst record at 13 - 49 .	1	0	1	0	ADJ-ORDINAL X-CARDINAL_COMPARISON DET-ORG PROPN-ORG NUM-CARDINAL PUNCT-.
Robert Covington ( elbow ) returned from a two - game absence , but struggled coming off the bench , recording just 5 points on 1 - of - 8 shooting and six rebounds in 18 minutes .	1	1	1	1	PROPN-PERSON DET-ORG PROPN-ORG X-CARDINAL_COMPARISON PUNCT-) DET-ORG PROPN-ORG X-CARDINAL_COMPARISON PROPN-DATE PUNCT-.
DeRozan also forced his way to the free throw line , and converted on a perfect 10 - of - 10 attempts .	1	1	0	0	PROPN-PERSON NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
After shooting less than 30 percent over his last two games , he finally got things turned around and exploded for a new season - high in points .	0	1	1	0	PROPN-DATE PROPN-GPE PROPN-ORG PUNCT-.
The Sixers , who have dropped two straight , were led by 16 points and 10 rebounds from Luc Richard Mbah_a_Moute .	1	1	1	0	PROPN-GPE NUM-CARDINAL DET-DATE NOUN-DATE PUNCT-.
The Hornets have a quick turnaround as they will host the Pacers on Sunday .	0	0	1	0	PROPN-ORG PUNCT-.
The Bucks ' regular season will come to an end at home against the Boston Celtics on Wednesday , while the Sixers will be at home against the Miami Heat on Wednesday .	0	0	1	0	PROPN-PERSON PUNCT-PERSON PROPN-PERSON PROPN-DATE PROPN-ORG PUNCT-.
Robinson posted 12 points ( 4 - 8 FG , 4 - 6 FT ) and six rebounds , while Sampson had 10 points ( 3 - 8 FG , 0 - 4 3Pt , 4 - 4 FT ) and five rebounds .	1	0	0	0	PUNCT-.
Thomas Robinson and Jakaar Sampson finished in double figures off the bench .	0	1	0	0	PROPN-PERSON NUM-CARDINAL NUM-TIME NOUN-TIME PROPN-PERSON PUNCT-.
Thompson shot less than 40 percent from the field in three of his last four games coming into this one , so it was a step in the right direction Monday with his performance .	0	0	1	0	PROPN-ORG ADJ-ORDINAL DET-DATE NOUN-DATE PROPN-DATE PROPN-ORG PUNCT-.
Thompson , on the other hand , finished with 19 points ( 7 - 18 FG , 3 - 10 3Pt , 2 - 2 FT ) and four rebounds over 36 minutes .	1	0	0	0	PROPN-GPE X-CARDINAL_COMPARISON PROPN-GPE X-CARDINAL_COMPARISON PUNCT-) X-CARDINAL_COMPARISON PROPN-DATE NOUN-CARDINAL PROPN-GPE PUNCT-.
He 's played well over these final games other than the turnovers , averaging 24 points over his last three .	0	0	1	0	X-CARDINAL_COMPARISON SYM-CARDINAL NUM-CARDINAL PROPN-ORG NOUN-CARDINAL PROPN-ORG X-CARDINAL_COMPARISON SYM-PRODUCT NUM-PRODUCT DET-DATE ADJ-DATE NOUN-DATE PROPN-ORG NUM-CARDINAL PUNCT-.
It was n't all good for the forward though , as he turned the ball over a whopping 10 times .	0	1	0	0	PROPN-ORG X-CARDINAL_COMPARISON PUNCT-.
Covington went 6 - for - 13 from the field , but just 1 - for - 6 from the three - point line to score a team - high of 25 points , while also adding seven rebounds and four blocked shots .	1	1	0	0	ADJ-ORDINAL PROPN-ORG ADJ-ORDINAL PUNCT-.
The Sixers were led by the duo of Robert Covington and Hollis Thompson .	0	1	0	0	PROPN-PERSON PROPN-DATE PROPN-ORG PROPN-PERSON PUNCT-.
Ilyasova finished with 13 points ( 5 - 8 FG , 2 - 3 3Pt , 1 - 2 FT ) and three steals , while Mayo posted 13 points ( 5 - 9 FG , 1 - 2 3Pt , 2 - 2 FT ) , four rebounds and three steals of his own .	1	0	0	0	PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON NOUN-ORG X-CARDINAL_COMPARISON SYM-QUANTITY NUM-QUANTITY PROPN-QUANTITY NUM-CARDINAL PROPN-PERSON ADJ-ORDINAL DET-DATE NOUN-DATE PUNCT-.
Mayo .	0	0	0	1	PROPN-PERSON X-CARDINAL_COMPARISON NUM-CARDINAL X-CARDINAL_COMPARISON NUM-CARDINAL PUNCT-.
The only other two players to reach double figures in points were Ersan Ilyasova and O.J .	0	1	0	0	PROPN-PERSON AUX-PERSON NUM-CARDINAL DET-DATE NOUN-DATE PUNCT-.
He 'll take season averages of 13 points and 7 rebounds into the Bucks ' final matchup on Wednesday .	0	0	1	0	PROPN-PERSON X-CARDINAL_COMPARISON NUM-CARDINAL X-CARDINAL_COMPARISON NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
Giannis Antetokounmpo had a solid overall game as well , recording 12 points ( 3 - 9 FG , 6 - 10 FT ) , seven rebounds and three assists over 34 minutes .	1	1	0	0	PROPN-PRODUCT PROPN-PERSON NUM-CARDINAL PUNCT-.
Over his last four games , he 's averaged 23 points , six assists and 3 steals , so the Bucks would love to see him stay this hot going into their playoff series with either the Toronto Raptors or Chicago Bulls .	0	0	1	0	PROPN-ORG PROPN-PERSON PUNCT-PERSON PROPN-PERSON NUM-CARDINAL PUNCT-.
Michael Carter-Williams had another strong showing , finishing with 30 points ( 11 - 17 FG , 8 - 13 FT ) , five rebounds , five assists and three steals .	1	1	0	0	ADJ-ORDINAL DET-DATE NOUN-DATE PUNCT-.
The Bucks were the superior shooters in this game , going 49 percent from the field and 44 percent from the three - point line , while the Sixers finished at 40 percent from the floor and just 21 percent from deep .	1	1	0	0	PROPN-PERSON PROPN-DATE PUNCT-.
Mayo received technical fouls for the Bucks , while Jakaar Sampson picked one up for the Sixers .	0	1	0	0	PROPN-PERSON NUM-CARDINAL PROPN-PERSON ADJ-ORDINAL NUM-CARDINAL PUNCT-.
The game did get somewhat chippy towards the end though , as both Jerryd Bayless and O.J .	0	1	0	0	ADJ-ORDINAL NUM-CARDINAL PROPN-PERSON PUNCT-.
They 've already locked up the sixth seed in the Eastern_Conference standings , so this was another solid momentum builder for the playoffs that start this coming Saturday .	0	1	1	0	PROPN-PERSON NUM-CARDINAL PROPN-ORG PROPN-PERSON PART-PERSON NUM-CARDINAL DET-DATE NOUN-DATE PUNCT-.
The Bucks continued to gain some steam as the regular season winds down , notching their third straight victory and finishing the season sweep over the Sixers .	0	1	1	0	PROPN-PERSON NUM-CARDINAL PUNCT-.
The Milwaukee Bucks ( 41 - 40 ) defeated the Philadelphia 76ers ( 18 - 63 ) 107 - 97 on Monday at the Wells_Fargo_Center in Philadelphia .	1	1	0	0	PROPN-ORG PROPN-GPE PROPN-FAC PROPN-DATE PROPN-ORG DET-ORG PROPN-ORG PROPN-DATE PUNCT-.
Up next , the Wizards will travel to Brooklyn Friday to play the Nets , while the 76ers will head to Chicago and go up against the Bulls on Saturday .	0	0	1	0	PROPN-ORG X-CARDINAL_COMPARISON PROPN-GPE PROPN-TIME NOUN-TIME PUNCT-.
The team shot a woeful 35 percent from the field , but the loss does help Philadelphia in their quest for the No . 1 overall pick , as they continue to boast the third worst record in the league .	1	0	1	0	NUM-CARDINAL ADJ-DATE NOUN-DATE NUM-CARDINAL PUNCT-.
Thomas Robinson scored 11 points and was the only other 76er to score in double figures , but he also added 12 rebounds to give himself a double - double on the night .	1	1	0	0	NUM-CARDINAL ADJ-DATE NOUN-DATE ADV-CARDINAL ADJ-CARDINAL SCONJ-CARDINAL NUM-CARDINAL DET-DATE ADJ-DATE NOUN-DATE PROPN-PERSON DET-DATE ADJ-DATE NOUN-DATE PUNCT-.
Jason Richardson also had an efficient performance , scoring 17 points ( 6 - 7 FG , 4 - 5 3Pt ) in 21 minutes off the bench .	1	0	0	0	PROPN-PERSON ADJ-ORDINAL PROPN-PERSON NUM-CARDINAL NUM-QUANTITY PUNCT-QUANTITY ADP-QUANTITY PUNCT-QUANTITY NUM-QUANTITY NUM-CARDINAL NUM-TIME NOUN-TIME PUNCT-.
Robert Covington had a great shooting night and led the way for the 76ers in the losing effort , posting 27 points ( 8 - 11 FG , 4 - 6 3Pt , 7 - 8 FT ) in just 24 minutes and was the only Philadelphia starter to reach double figures on the night .	1	1	0	0	PROPN-PERSON NUM-CARDINAL PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON SYM-QUANTITY NUM-QUANTITY PROPN-QUANTITY NUM-CARDINAL PUNCT-.
Paul Pierce was the only other starter to score in double figures with 10 points in 22 minutes , while Kevin Seraphin ( 12 ) and Will Bynum ( 10 ) each scored in double figures off the bench .	1	1	0	0	PROPN-ORG PROPN-PERSON NUM-CARDINAL PUNCT-.
