Sentence	B	W	A	H	Abs
In fact , the Red Sox did quite well even when Ortiz was going through one of the worst slumps of his career .	0	0	1	0	
Griffey hit No . 599 at home Saturday against Atlanta .	0	0	1	0	
Edwin Encarnacion hit a solo homer and tripled for two of Cincinnati 's five hits .	0	1	0	0	
The White Sox 's offense perked up and Chicago hit four homers Tuesday night to beat the Kansas City Royals 9 - 5 .   Ozzie is one of those guys , he loves this team , he cares so much about this team that he wants us to do well .	1	1	0	0	
CHICAGO ( AP ) -- Ozzie Guillen 's tirade two days ago must have made an impression .	0	0	1	0	
Badenhop allowed only one more hit over his five - inning stint , though he did have to work around four walks in all .	1	1	0	0	
The youngster , who came into the game with a 6.75 ERA , settled down after Jones ' homer .	1	1	0	0	
That brought up Jones , who turned a 2 - 1 pitch into a monstrous drive that went out in center .	1	1	0	0	
Yunel Escobar led off the bottom of the first with a single , and Kelly Johnson followed with a walk .	1	1	0	0	
Florida starter Burke Badenhop got in a big jam right away .	0	1	0	0	
Hanley Ramirez led off the game with a double , moved to third on a groundout and scored on Jorge Cantu 's sacrifice fly .	1	1	0	0	
He surrendered six hits and four runs -- one more than he had given up in 23 2/3 innings coming in .	1	0	1	0	
Campillo had his worst showing of a surprisingly effective season , lasting only four innings .	0	0	1	0	
He 's on his way to his best season yet after hitting 31 homers a year ago and 27 in 2006 .	0	0	1	0	
It was Uggla 's 18th homer and third two - homer game of the season .	0	0	1	0	
Two innings later , he practically swung one - handed to reach a low pitch from Campillo , the ball soaring toward left and barely clearing the wall to give the Marlins a 4 - 3 lead .	1	1	0	0	
But Uggla was n't done .	0	1	0	0	
Atlanta starter Jorge Campillo knew he left a fat one over the heart of the plate , shaking his head in disgust as soon as the Florida slugger connected .	0	1	0	0	
Uggla led off second by hitting a 2 - 2 pitch into the left-field seats .	1	1	0	0	
Jones homered in the first , giving Atlanta a quick 3 - 1 lead , and finished 2 - for - 4 to push his average from .407 to .409 .	1	1	0	0	
He gave up two runs in the ninth on Monday , blowing a save chance , but the Braves rallied to win on Yunel Escobar 's 10th-inning homer .	1	1	0	0	
The starter-turned-closer 's ailing shoulder was sore after his first appearance out of the bullpen since 2004 .	0	0	1	0	
John Smoltz never got up for the Braves .	0	1	0	0	
Rafael Soriano worked a perfect ninth for his second save .	1	1	0	0	
Will Ohman ( 3 - 0 ) won for the second night in a row with a scoreless inning .	1	0	1	0	
The Marlins have dropped six of their last seven to slide out of first in the NL East .	0	0	1	0	
Now , they 're losing them .	0	0	1	0	
The Braves actually won a one - run game , improving their mark in those contests to 3 - 16 , despite two more homers by Florida 's slugging second baseman , Dan Uggla .	0	1	1	0	
He lost a fly ball in the lights , but managed to make the catch before falling on his rear end .	0	1	0	0	
Out in left field , Norton had another adventurous night .	0	1	0	0	
The ball did n't stop rolling until it got to the corner , bringing home the tying and winning runs .	0	1	0	0	
Norton , a .171-hitting utilityman forced to start because the Braves have two outfielders on the disabled list , drove the first pitch he saw just inside the first-base bag .	0	1	0	0	
Mark Teixeira followed with a double into the left-field corner , putting runners at second and third .	1	1	0	0	
Jones , who actually managed to raise an average that already was over .400 , sparked the Braves in the eighth with a leadoff single against Matt Lindstrom ( 1 - 1 ) .	1	1	0	0	
The next homer -- and it should n't take long the way Jones is hitting -- will make him the 43rd player in baseball history with 400 .   I do n't ever think about that kind of stuff until you bring it up , '' Jones told reporters .   It makes me blush . '' His face actually was a light shade of red , though that may have had more to do with the sweltering night at Turner Field -- 87 degrees for the first pitch .	0	1	1	0	
Jones moved ahead of former Braves great Dale Murphy on the career list , and pulled into a tie with Hall of Famer Al Kaline and one of Jones ' ex-teammates , Andres Galarraga .	0	0	1	0	
The torrid-hitting Jones moved within one homer of No . 400 , hitting a three - run shot , and Norton came through with a two - run double in the eighth inning that rallied the Atlanta Braves to another come-from-behind victory , 5 - 4 over the slumping Florida Marlins on Tuesday night .	1	1	0	0	
Greg Norton was just relieved that he drove in more runs than he gave up with his shaky defense .	0	1	0	0	
ATLANTA ( AP ) -- Chipper Jones blushed over his 399th homer .	0	0	1	0	
But Hall , who ended up in a platoon role because of his struggles against right-handed pitchers this season , did single off righty reliever Max Scherzer .	0	1	0	0	
Brewers fans did n't react strongly when Hall 's name was announced before the game , but the boos intensified after Hall struck out for the second time .	0	1	0	0	
The Brewers ' offensive struggles included two strikeouts by Bill Hall , who caused a stir this week when his agent suggested that the team would be better off trading him than keeping him in a platoon with Russell Branyan at third base .	0	1	1	0	
Despite Johnson 's early dominance , Milwaukee was within striking distance thanks to a strong outing by McClung ( 3 - 2 ) , who gave up a run and six hits over six innings in his third start of the season .	1	1	0	0	
Diamondbacks manager Bob Melvin said Johnson needed some help from the offense .	0	1	0	0	
